Timestamp,UnixTime,PersonID,KP0_X,KP0_Y,KP0_C,KP1_X,KP1_Y,KP1_C,KP2_X,KP2_Y,KP2_C,KP3_X,KP3_Y,KP3_C,KP4_X,KP4_Y,KP4_C,KP5_X,KP5_Y,KP5_C,KP6_X,KP6_Y,KP6_C,KP7_X,KP7_Y,KP7_C,KP8_X,KP8_Y,KP8_C,KP9_X,KP9_Y,KP9_C,KP10_X,KP10_Y,KP10_C,KP11_X,KP11_Y,KP11_C,KP12_X,KP12_Y,KP12_C,KP13_X,KP13_Y,KP13_C,KP14_X,KP14_Y,KP14_C,KP15_X,KP15_Y,KP15_C,KP16_X,KP16_Y,KP16_C
2026-03-14 07:46:30.289201,1773488790.2892015,4072,807.7273,280.73865,0.7158203,813.3523,271.5341,0.24902344,803.63635,267.44318,0.78271484,799.03406,272.04544,0.07861328,774.48865,261.43466,0.8100586,776.0227,323.69318,0.7319336,726.9318,309.63068,0.9614258,758.63635,378.92044,0.43579102,698.8068,357.44318,0.9394531,773.9773,307.07385,0.5366211,762.2159,295.56818,0.91748047,742.78406,454.60226,0.8027344,711.0795,452.55682,0.9194336,734.6023,510.3409,0.5336914,708.5227,514.6875,0.76171875,721.3068,562.5,0.27124023,705.9659,572.7273,0.40478516
2026-03-14 07:46:31.297186,1773488791.2971866,4072,807.2159,283.03976,0.6220703,811.3068,273.83524,0.18261719,805.1705,270.0,0.7392578,788.8068,274.85794,0.07531738,777.5568,265.6534,0.8222656,759.65906,325.48294,0.68652344,730.51135,313.21024,0.94921875,740.73865,378.92044,0.33276367,695.2273,357.1875,0.90478516,775.0,322.92615,0.39868164,751.98865,301.19318,0.8613281,724.375,445.9091,0.8017578,706.98865,444.88635,0.9160156,727.4432,506.25,0.6381836,715.1705,509.57385,0.82714844,711.0795,565.0568,0.42944336,703.9205,574.26135,0.5761719
2026-03-14 07:46:31.316880,1773488791.31688,4072,807.2159,283.03976,0.6220703,811.3068,273.83524,0.18261719,805.1705,270.0,0.7392578,788.8068,274.85794,0.07531738,777.5568,265.6534,0.8222656,759.65906,325.48294,0.68652344,730.51135,313.21024,0.94921875,740.73865,378.92044,0.33276367,695.2273,357.1875,0.90478516,775.0,322.92615,0.39868164,751.98865,301.19318,0.8613281,724.375,445.9091,0.8017578,706.98865,444.88635,0.9160156,727.4432,506.25,0.6381836,715.1705,509.57385,0.82714844,711.0795,565.0568,0.42944336,703.9205,574.26135,0.5761719
2026-03-14 07:46:32.305901,1773488792.3059018,4072,837.8977,280.22726,0.51171875,837.8977,270.51135,0.12261963,836.36365,269.74432,0.61621094,813.3523,267.44318,0.0703125,814.88635,265.9091,0.7709961,794.4318,310.6534,0.69677734,773.9773,310.14206,0.94921875,789.3182,383.52274,0.37573242,760.1705,385.05682,0.91503906,821.0227,347.98294,0.41259766,815.90906,344.91476,0.85839844,757.1023,439.26135,0.8491211,744.8295,440.2841,0.93847656,748.40906,514.6875,0.7011719,742.2727,519.2898,0.86328125,736.6477,595.2273,0.4675293,726.4205,603.4091,0.6088867
2026-03-14 07:46:32.326399,1773488792.3263996,4072,837.8977,280.22726,0.51171875,837.8977,270.51135,0.12261963,836.36365,269.74432,0.61621094,813.3523,267.44318,0.0703125,814.88635,265.9091,0.7709961,794.4318,310.6534,0.69677734,773.9773,310.14206,0.94921875,789.3182,383.52274,0.37573242,760.1705,385.05682,0.91503906,821.0227,347.98294,0.41259766,815.90906,344.91476,0.85839844,757.1023,439.26135,0.8491211,744.8295,440.2841,0.93847656,748.40906,514.6875,0.7011719,742.2727,519.2898,0.86328125,736.6477,595.2273,0.4675293,726.4205,603.4091,0.6088867
2026-03-14 07:46:32.385105,1773488792.3851051,4072,847.61365,278.69318,0.64404297,847.1023,268.7216,0.1784668,844.03406,267.95456,0.7211914,824.0909,268.21024,0.06866455,818.9773,266.42044,0.8125,806.7045,316.5341,0.7685547,775.0,312.1875,0.9658203,805.6818,393.75,0.46557617,756.5909,382.75568,0.94189453,826.13635,346.70456,0.52441406,818.9773,341.07956,0.90771484,764.7727,437.98294,0.8676758,743.8068,438.49432,0.9448242,761.7045,498.06818,0.7011719,751.98865,506.25,0.8642578,739.7159,570.6818,0.43359375,721.3068,581.9318,0.5810547
2026-03-14 07:46:32.404495,1773488792.404495,4072,847.61365,278.69318,0.64404297,847.1023,268.7216,0.1784668,844.03406,267.95456,0.7211914,824.0909,268.21024,0.06866455,818.9773,266.42044,0.8125,806.7045,316.5341,0.7685547,775.0,312.1875,0.9658203,805.6818,393.75,0.46557617,756.5909,382.75568,0.94189453,826.13635,346.70456,0.52441406,818.9773,341.07956,0.90771484,764.7727,437.98294,0.8676758,743.8068,438.49432,0.9448242,761.7045,498.06818,0.7011719,751.98865,506.25,0.8642578,739.7159,570.6818,0.43359375,721.3068,581.9318,0.5810547
2026-03-14 07:46:32.450296,1773488792.4502962,4072,855.7955,272.55682,0.39697266,857.3295,263.60794,0.059539795,854.26135,262.58524,0.49194336,821.53406,264.63068,0.029037476,832.2727,262.8409,0.7583008,793.9205,304.77274,0.7836914,789.3182,311.42044,0.9038086,807.2159,373.29544,0.35742188,791.875,386.5909,0.7998047,844.03406,332.64206,0.33691406,841.4773,336.47726,0.64160156,760.1705,430.82385,0.83203125,756.0795,436.70456,0.8857422,769.88635,507.7841,0.5644531,765.7955,514.9432,0.69628906,752.5,558.4091,0.27270508,747.38635,571.1932,0.3647461
2026-03-14 07:46:32.470986,1773488792.4709861,4072,855.7955,272.55682,0.39697266,857.3295,263.60794,0.059539795,854.26135,262.58524,0.49194336,821.53406,264.63068,0.029037476,832.2727,262.8409,0.7583008,793.9205,304.77274,0.7836914,789.3182,311.42044,0.9038086,807.2159,373.29544,0.35742188,791.875,386.5909,0.7998047,844.03406,332.64206,0.33691406,841.4773,336.47726,0.64160156,760.1705,430.82385,0.83203125,756.0795,436.70456,0.8857422,769.88635,507.7841,0.5644531,765.7955,514.9432,0.69628906,752.5,558.4091,0.27270508,747.38635,571.1932,0.3647461
2026-03-14 07:46:33.606702,1773488793.606702,4073,992.3295,265.9091,0.4399414,995.90906,256.321,0.1184082,989.7727,252.99716,0.38793945,977.5,266.16476,0.076538086,970.3409,259.3892,0.49609375,968.8068,330.5966,0.7236328,917.6705,324.20456,0.91845703,944.26135,417.01706,0.58740234,879.8295,404.23294,0.8925781,940.1705,280.48294,0.5800781,931.4773,271.5341,0.82958984,946.8182,516.4773,0.82714844,905.3977,516.98865,0.8935547,951.4205,625.9091,0.4597168,895.6818,626.9318,0.5859375,950.90906,665.7955,0.1394043,878.2955,666.3068,0.17663574
